UserID DayID waveday mzp.day weekday time_cont well good content happy NEvent PEvent firsthour laterhour male age dtime one time_cont2 time_cont3 weight
10124 101247 7 2 3 751 1 1 0 1 0 0 0 1 0 29 111 1 564001 423564751 1
10124 101247 7 3 3 857 1 1 1 1 0 0 0 1 0 29 106 1 734449 629422793 1
10124 101247 7 4 3 971 1 1 1 1 0 0 0 1 0 29 114 1 942841 915498611 1
10124 101247 7 5 3 1109 0 0 0 0 1 0 0 1 0 29 138 1 1229881 1363938029 1
10124 101247 7 6 3 1172 0 0 1 1 0 0 0 1 0 29 63 1 1373584 1609840448 1
10124 101247 7 7 3 1271 1 1 1 1 0 1 0 1 0 29 99 1 1615441 2053225511 1
10124 101247 7 8 3 1359 1 1 1 1 0 0 0 1 0 29 88 1 1846881 2509911279 1
10312 103121 1 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103121 1 1 4 623 1 1 1 1 0 0 0 1 1 22 143 1 388129 241804367 1
10312 103121 1 2 4 723 1 1 1 1 0 0 0 1 1 22 100 1 522729 377933067 1
10312 103121 1 3 4 824 1 1 1 1 0 0 0 1 1 22 101 1 678976 559476224 1
10312 103121 1 4 4 954 1 1 1 1 0 0 0 1 1 22 130 1 910116 868250664 1
10312 103121 1 5 4 1029 1 1 1 1 0 0 0 1 1 22 75 1 1058841 1089547389 1
10312 103121 1 6 4 1127 1 1 0 1 0 0 0 1 1 22 98 1 1270129 1431435383 1
10312 103121 1 7 4 1227 1 1 0 1 1 0 0 1 1 22 100 1 1505529 1847284083 1
10312 103121 1 8 4 1305 2 2 2 2 0 0 0 1 1 22 78 1 1703025 2222447625 1
10312 103122 2 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103122 2 1 5 552 1 1 1 1 0 0 0 1 1 22 72 1 304704 168196608 1
10312 103122 2 2 5 655 1 1 2 1 0 0 0 1 1 22 103 1 429025 281011375 1
10312 103122 2 3 5 753 1 1 1 1 0 0 0 1 1 22 98 1 567009 426957777 1
10312 103122 2 4 5 859 1 1 1 1 0 0 0 1 1 22 106 1 737881 633839779 1
10312 103122 2 5 5 969 1 0 1 1 0 0 0 1 1 22 110 1 938961 909853209 1
10312 103122 2 6 5 1071 1 1 1 1 0 1 0 1 1 22 102 1 1147041 1228480911 1
10312 103122 2 7 5 1166 1 1 1 1 0 0 0 1 1 22 95 1 1359556 1585242296 1
10312 103122 2 8 5 1235 1 1 1 1 0 0 0 1 1 22 69 1 1525225 1883652875 1
10312 103123 3 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103123 3 1 6 575 1 1 1 1 0 0 0 1 1 22 95 1 330625 190109375 1
10312 103123 3 2 6 699 1 1 1 1 0 0 0 1 1 22 124 1 488601 341532099 1
10312 103123 3 3 6 795 1 1 1 1 0 0 0 1 1 22 96 1 632025 502459875 1
10312 103123 3 4 6 919 1 1 1 1 0 0 0 1 1 22 124 1 844561 776151559 1
10312 103123 3 5 6 1000 NA NA NA NA 0 0 0 1 1 22 81 1 1e+06 1e+09 1
10312 103123 3 6 6 1096 1 1 1 1 0 1 0 1 1 22 96 1 1201216 1316532736 1
10312 103123 3 7 6 1183 1 1 1 1 0 0 0 1 1 22 87 1 1399489 1655595487 1
10312 103123 3 8 6 1284 1 2 2 1 0 0 0 1 1 22 101 1 1648656 2116874304 1
10312 103124 4 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103124 4 1 7 557 1 1 1 1 0 0 0 1 1 22 77 1 310249 172808693 1
10312 103124 4 2 7 685 1 1 1 1 0 0 0 1 1 22 128 1 469225 321419125 1
10312 103124 4 3 7 774 2 2 2 2 0 0 0 1 1 22 89 1 599076 463684824 1
10312 103124 4 4 7 871 2 2 1 2 0 0 0 1 1 22 97 1 758641 660776311 1
10312 103124 4 5 7 986 2 2 2 2 0 0 0 1 1 22 115 1 972196 958585256 1
10312 103124 4 6 7 1050 1 1 1 1 0 0 0 1 1 22 64 1 1102500 1157625000 1
10312 103124 4 7 7 1177 NA NA NA NA 0 0 0 1 1 22 127 1 1385329 1630532233 1
10312 103124 4 8 7 1267 1 1 1 1 0 0 0 1 1 22 90 1 1605289 2033901163 1
10312 103125 5 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103125 5 1 1 590 1 1 1 1 0 0 0 1 1 22 110 1 348100 205379000 1
10312 103125 5 2 1 713 1 1 1 1 0 0 0 1 1 22 123 1 508369 362467097 1
10312 103125 5 3 1 838 2 2 2 2 0 0 0 1 1 22 125 1 702244 588480472 1
10312 103125 5 4 1 926 1 1 1 2 0 0 0 1 1 22 88 1 857476 794022776 1
10312 103125 5 5 1 1041 1 1 1 1 0 0 0 1 1 22 115 1 1083681 1128111921 1
10312 103125 5 6 1 1132 1 1 1 1 0 0 0 1 1 22 91 1 1281424 1450571968 1
10312 103125 5 7 1 1201 1 1 1 1 0 0 0 1 1 22 69 1 1442401 1732323601 1
10312 103125 5 8 1 1297 1 1 1 1 0 0 0 1 1 22 96 1 1682209 2181825073 1
10312 103126 6 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103126 6 1 2 612 1 1 1 1 0 0 0 1 1 22 132 1 374544 229220928 1
10312 103126 6 2 2 724 1 1 1 1 0 0 0 1 1 22 112 1 524176 379503424 1
10312 103126 6 3 2 825 1 1 1 1 0 0 0 1 1 22 101 1 680625 561515625 1
10312 103126 6 4 2 927 1 1 1 1 0 0 0 1 1 22 102 1 859329 796597983 1
10312 103126 6 5 2 1040 1 1 1 1 1 0 0 1 1 22 113 1 1081600 1124864000 1
10312 103126 6 6 2 1115 1 1 1 1 0 0 0 1 1 22 75 1 1243225 1386195875 1
10312 103126 6 7 2 1210 1 1 1 1 0 0 0 1 1 22 95 1 1464100 1771561000 1
10312 103126 6 8 2 1290 1 1 1 1 0 0 0 1 1 22 80 1 1664100 2146689000 1
10312 103127 7 0 NA 480 NA NA NA NA 0 0 1 0 1 22 1 1 230400 110592000 1
10312 103127 7 1 3 567 1 1 0 1 1 0 0 1 1 22 87 1 321489 182284263 1
10312 103127 7 2 3 649 1 1 1 1 0 0 0 1 1 22 82 1 421201 273359449 1
10312 103127 7 3 3 758 1 1 1 1 0 0 0 1 1 22 109 1 574564 435519512 1
10312 103127 7 4 3 868 1 1 1 1 0 0 0 1 1 22 110 1 753424 653972032 1
10312 103127 7 5 3 992 1 1 1 1 0 0 0 1 1 22 124 1 984064 976191488 1
10312 103127 7 6 3 1103 NA NA NA NA 0 0 0 1 1 22 111 1 1216609 1341919727 1
10312 103127 7 7 3 1220.16666666667 2 1 2 2 0 0 0 1 1 22 117.166666666667 1 1488806.69444444 1816592301.6713 1
10312 103127 7 8 3 1291 2 2 2 2 0 0 0 1 1 22 70.8333333333333 1 1666681 2151685171 1
10402 104021 1 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104021 1 1 4 661 2 2 2 2 0 0 0 1 1 21 181 1 436921 288804781 1
10402 104021 1 2 4 802 2 2 2 2 0 1 0 1 1 21 141 1 643204 515849608 1
10402 104021 1 3 4 882 NA NA NA NA 0 0 0 1 1 21 80 1 777924 686128968 1
10402 104021 1 4 4 1016 1 2 2 2 0 0 0 1 1 21 134 1 1032256 1048772096 1
10402 104021 1 5 4 1091 1 2 2 2 0 0 0 1 1 21 75 1 1190281 1298596571 1
10402 104021 1 6 4 1188 2 2 1 2 0 0 0 1 1 21 97 1 1411344 1676676672 1
10402 104021 1 7 4 1273 2 2 2 2 0 0 0 1 1 21 85 1 1620529 2062933417 1
10402 104021 1 8 4 1371 1 2 2 2 0 0 0 1 1 21 98 1 1879641 2576987811 1
10402 104022 2 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104022 2 1 5 620 2 2 2 2 0 0 0 1 1 21 140 1 384400 238328000 1
10402 104022 2 2 5 708 2 2 2 2 0 0 0 1 1 21 88 1 501264 354894912 1
10402 104022 2 3 5 817 1 1 2 1 0 0 0 1 1 21 109 1 667489 545338513 1
10402 104022 2 4 5 903 2 2 2 2 0 1 0 1 1 21 86 1 815409 736314327 1
10402 104022 2 5 5 1038 2 2 2 2 0 0 0 1 1 21 135 1 1077444 1118386872 1
10402 104022 2 6 5 1133 1 1 2 2 0 0 0 1 1 21 95 1 1283689 1454419637 1
10402 104022 2 7 5 1209 2 2 2 2 0 0 0 1 1 21 76 1 1461681 1767172329 1
10402 104022 2 8 5 1308 2 2 2 2 0 0 0 1 1 21 99 1 1710864 2237810112 1
10402 104023 3 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104023 3 1 6 650 1 2 2 2 0 0 0 1 1 21 170 1 422500 274625000 1
10402 104023 3 2 6 759 2 2 2 2 0 0 0 1 1 21 109 1 576081 437245479 1
10402 104023 3 3 6 859 1 2 2 2 0 0 0 1 1 21 100 1 737881 633839779 1
10402 104023 3 4 6 979 1 2 2 2 0 0 0 1 1 21 120 1 958441 938313739 1
10402 104023 3 5 6 1056 1 2 2 2 0 0 0 1 1 21 77 1 1115136 1177583616 1
10402 104023 3 6 6 1156 1 1 1 0 1 0 0 1 1 21 100 1 1336336 1544804416 1
10402 104023 3 7 6 1252 1 1 1 1 0 0 0 1 1 21 96 1 1567504 1962515008 1
10402 104023 3 8 6 1339 1 1 1 2 0 0 0 1 1 21 87 1 1792921 2400721219 1
10402 104024 4 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104024 4 1 7 610 1 1 1 1 0 0 0 1 1 21 130 1 372100 226981000 1
10402 104024 4 2 7 733 1 1 1 1 0 0 0 1 1 21 123 1 537289 393832837 1
10402 104024 4 3 7 831 1 1 1 1 0 0 0 1 1 21 98 1 690561 573856191 1
10402 104024 4 4 7 947 NA NA NA NA 0 0 0 1 1 21 116 1 896809 849278123 1
10402 104024 4 5 7 1047 1 1 1 2 0 0 0 1 1 21 100 1 1096209 1147730823 1
10402 104024 4 6 7 1111 1 2 2 1 0 0 0 1 1 21 64 1 1234321 1371330631 1
10402 104024 4 7 7 1245 1 1 1 1 0 0 0 1 1 21 134 1 1550025 1929781125 1
10402 104024 4 8 7 1340 NA NA NA NA 0 0 0 1 1 21 95 1 1795600 2406104000 1
10402 104025 5 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104025 5 1 1 640 1 1 1 2 0 0 0 1 1 21 160 1 409600 262144000 1
10402 104025 5 2 1 751 2 2 2 2 0 0 0 1 1 21 111 1 564001 423564751 1
10402 104025 5 3 1 881 2 1 2 2 0 0 0 1 1 21 130 1 776161 683797841 1
10402 104025 5 4 1 971 2 2 2 2 0 0 0 1 1 21 90 1 942841 915498611 1
10402 104025 5 5 1 1100 1 1 1 1 1 0 0 1 1 21 129 1 1210000 1.331e+09 1
10402 104025 5 6 1 1172 1 1 1 1 0 0 0 1 1 21 72 1 1373584 1609840448 1
10402 104025 5 7 1 1271 1 2 2 2 0 0 0 1 1 21 99 1 1615441 2053225511 1
10402 104025 5 8 1 1352 1 1 1 1 0 0 0 1 1 21 81 1 1827904 2471326208 1
10402 104026 6 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104026 6 1 2 677 NA NA NA NA 0 0 0 1 1 21 197 1 458329 310288733 1
10402 104026 6 2 2 797 2 2 2 1 0 1 0 1 1 21 120 1 635209 506261573 1
10402 104026 6 3 2 885 1 2 2 2 0 0 0 1 1 21 88 1 783225 693154125 1
10402 104026 6 4 2 988 2 2 2 2 0 1 0 1 1 21 103 1 976144 964430272 1
10402 104026 6 5 2 1109 2 2 2 2 0 0 0 1 1 21 121 1 1229881 1363938029 1
10402 104026 6 6 2 1171 NA NA NA NA 0 0 0 1 1 21 62 1 1371241 1605723211 1
10402 104026 6 7 2 1273 2 2 2 2 0 0 0 1 1 21 102 1 1620529 2062933417 1
10402 104026 6 8 2 1359 2 2 2 2 0 0 0 1 1 21 86 1 1846881 2509911279 1
10402 104027 7 0 NA 480 NA NA NA NA 0 0 1 0 1 21 1 1 230400 110592000 1
10402 104027 7 1 3 621 2 2 2 2 0 0 0 1 1 21 141 1 385641 239483061 1
10402 104027 7 2 3 704 2 1 2 2 0 0 0 1 1 21 83 1 495616 348913664 1
10402 104027 7 3 3 839 2 2 2 2 0 0 0 1 1 21 135 1 703921 590589719 1
10402 104027 7 4 3 901 2 2 2 2 0 0 0 1 1 21 62 1 811801 731432701 1
10402 104027 7 5 3 1058 1 2 2 2 0 0 0 1 1 21 157 1 1119364 1184287112 1
10402 104027 7 6 3 1150 1 2 2 2 0 0 0 1 1 21 92 1 1322500 1520875000 1
10402 104027 7 7 3 1269 2 2 2 2 0 0 0 1 1 21 119 1 1610361 2043548109 1
10402 104027 7 8 3 1367 2 2 2 2 0 0 0 1 1 21 98 1 1868689 2554497863 1
10509 105091 1 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105091 1 1 4 620 1 1 1 1 0 0 0 1 1 26 140 1 384400 238328000 1
10509 105091 1 2 4 733 1 1 1 1 0 0 0 1 1 26 113 1 537289 393832837 1
10509 105091 1 3 4 882 0 1 1 1 0 0 0 1 1 26 149 1 777924 686128968 1
10509 105091 1 4 4 979 2 1 1 1 0 1 0 1 1 26 97 1 958441 938313739 1
10509 105091 1 5 4 1056 1 1 1 1 0 0 0 1 1 26 77 1 1115136 1177583616 1
10509 105091 1 6 4 1156 1 1 1 1 0 0 0 1 1 26 100 1 1336336 1544804416 1
10509 105091 1 7 4 1252 1 1 1 1 0 0 0 1 1 26 96 1 1567504 1962515008 1
10509 105091 1 8 4 1339 1 1 1 1 0 0 0 1 1 26 87 1 1792921 2400721219 1
10509 105092 2 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105092 2 1 5 650 0 0 0 0 0 0 0 1 1 26 170 1 422500 274625000 1
10509 105092 2 2 5 741 1 1 1 1 0 1 0 1 1 26 91 1 549081 406869021 1
10509 105092 2 3 5 817 1 1 2 1 0 0 0 1 1 26 76 1 667489 545338513 1
10509 105092 2 4 5 903 NA NA NA NA 0 0 0 1 1 26 86 1 815409 736314327 1
10509 105092 2 5 5 1016 2 1 2 1 0 0 0 1 1 26 113 1 1032256 1048772096 1
10509 105092 2 6 5 1091 1 1 1 1 0 0 0 1 1 26 75 1 1190281 1298596571 1
10509 105092 2 7 5 1209 1 0 1 1 0 0 0 1 1 26 118 1 1461681 1767172329 1
10509 105092 2 8 5 1308 2 1 1 1 0 0 0 1 1 26 99 1 1710864 2237810112 1
10509 105093 3 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105093 3 1 6 661 1 1 1 1 0 0 0 1 1 26 181 1 436921 288804781 1
10509 105093 3 2 6 759 1 1 1 1 1 0 0 1 1 26 98 1 576081 437245479 1
10509 105093 3 3 6 859 1 1 1 1 0 1 0 1 1 26 100 1 737881 633839779 1
10509 105093 3 4 6 947 1 1 1 1 0 0 0 1 1 26 88 1 896809 849278123 1
10509 105093 3 5 6 1038 1 1 1 1 0 0 0 1 1 26 91 1 1077444 1118386872 1
10509 105093 3 6 6 1133 0 1 1 1 0 0 0 1 1 26 95 1 1283689 1454419637 1
10509 105093 3 7 6 1210 2 2 2 2 1 0 0 1 1 26 77 1 1464100 1771561000 1
10509 105093 3 8 6 1317 2 2 1 1 0 0 0 1 1 26 107 1 1734489 2284322013 1
10509 105094 4 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105094 4 1 7 677 1 1 1 1 0 0 0 1 1 26 197 1 458329 310288733 1
10509 105094 4 2 7 802 1 1 2 1 0 0 0 1 1 26 125 1 643204 515849608 1
10509 105094 4 3 7 881 1 1 2 2 0 0 0 1 1 26 79 1 776161 683797841 1
10509 105094 4 4 7 1006 1 1 2 1 0 0 0 1 1 26 125 1 1012036 1018108216 1
10509 105094 4 5 7 1100 1 1 1 1 0 0 0 1 1 26 94 1 1210000 1.331e+09 1
10509 105094 4 6 7 1188 2 2 1 1 0 0 0 1 1 26 88 1 1411344 1676676672 1
10509 105094 4 7 7 1273 1 1 1 1 0 0 0 1 1 26 85 1 1620529 2062933417 1
10509 105094 4 8 7 1371 0 0 0 0 0 0 0 1 1 26 98 1 1879641 2576987811 1
10509 105095 5 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105095 5 1 1 610 0 1 2 1 0 0 0 1 1 26 130 1 372100 226981000 1
10509 105095 5 2 1 708 1 1 1 1 0 0 0 1 1 26 98 1 501264 354894912 1
10509 105095 5 3 1 797 2 1 1 1 0 0 0 1 1 26 89 1 635209 506261573 1
10509 105095 5 4 1 901 2 2 2 1 0 0 0 1 1 26 104 1 811801 731432701 1
10509 105095 5 5 1 1058 0 0 0 0 0 0 0 1 1 26 157 1 1119364 1184287112 1
10509 105095 5 6 1 1150 0 0 0 0 0 0 0 1 1 26 92 1 1322500 1520875000 1
10509 105095 5 7 1 1245 1 1 1 1 0 0 0 1 1 26 95 1 1550025 1929781125 1
10509 105095 5 8 1 1352 1 1 1 1 0 0 0 1 1 26 107 1 1827904 2471326208 1
10509 105096 6 0 NA 480 NA NA NA NA 0 0 1 0 1 26 1 1 230400 110592000 1
10509 105096 6 1 2 621 1 1 1 1 0 1 0 1 1 26 141 1 385641 239483061 1
10509 105096 6 2 2 704 2 1 1 1 0 0 0 1 1 26 83 1 495616 348913664 1
10509 105096 6 3 2 831 0 1 0 1 1 0 0 1 1 26 127 1 690561 573856191 1
10509 105096 6 4 2 931 2 2 2 1 0 0 0 1 1 26 100 1 866761 806954491 1
10509 105096 6 5 2 1047 2 2 2 1 0 0 0 1 1 26 116 1 1096209 1147730823 1
10509 105096 6 6 2 1111 1 1 1 1 0 0 0 1 1 26 64 1 1234321 1371330631 1
